"","N","Death"
"1","Ain",588306.233333333
"2","Aisne",527201.483333333
"3","Allier",349282.883333333
"4","Alpes-de-Haute-Provence",165100.85
"5","Hautes-Alpes",143460.983333333
"6","Alpes-Maritimes",1121895.68333333
"7","Ardèche",329280.916666667
"8","Ardennes",271146.216666667
"9","Ariège",158867.366666667
"10","Aube",297794.083333333
"11","Aude",373138.85
"12","Aveyron",282451.166666667
"13","Bouches-du-Rhône",2022545.16666667
"14","Calvados",697348.766666667
"15","Cantal",152049.916666667
"16","Charente",350838.883333333
"17","Charente-Maritime",677592.283333333
"18","Cher",304616.783333333
"19","Corrèze",249237.6
"20","Côte-d'Or",521918.733333333
"21","Côtes-d'Armor",625425.95
"22","Creuse",122084.783333333
"23","Dordogne",419762.3
"24","Doubs",529304.383333333
"25","Drôme",509467.05
"26","Eure",580845.566666667
"27","Eure-et-Loir",419545.583333333
"28","Finistère",934809
"29","Gard",749989.45
"30","Haute-Garonne",1310360.63333333
"31","Gers",190608.466666667
"32","Gironde",1601679.21666667
"33","Hérault",1160243.81666667
"34","Ille-et-Vilaine",1038460.85
"35","Indre",226335.733333333
"36","Indre-et-Loire",606677.45
"37","Isère",1233934.9
"38","Jura",261384.333333333
"39","Landes",420999.933333333
"40","Loir-et-Cher",331672.716666667
"41","Loire",765598.366666667
"42","Haute-Loire",231330.65
"43","Loire-Atlantique",1372220
"44","Loiret",652071.383333333
"45","Lot",176051.916666667
"46","Lot-et-Garonne",332213.033333333
"47","Lozère",75493.1
"48","Maine-et-Loire",793224.95
"49","Manche",508660.433333333
"50","Marne",549419.083333333
"51","Haute-Marne",176966.583333333
"52","Mayenne",302659.25
"53","Meurthe-et-Moselle",680266.65
"54","Meuse",177651.833333333
"55","Morbihan",782898.416666667
"56","Moselle",935925.45
"57","Nièvre",211785.85
"58","Nord",2524374.1
"59","Oise",793415.883333333
"60","Orne",281153.783333333
"61","Pas-de-Calais",1469696.15
"62","Puy-de-Dôme",656925.9
"63","Pyrénées-Atlantiques",679096.05
"64","Hautes-Pyrénées",234796.116666667
"65","Pyrénées-Orientales",490676.633333333
"66","Bas-Rhin",1110467.93333333
"67","Haut-Rhin",729250.75
"68","Rhône",1755623.66666667
"69","Haute-Saône",237692.85
"70","Saône-et-Loire",557365.683333333
"71","Sarthe",562494.516666667
"72","Savoie",424002.416666667
"73","Haute-Savoie",744774.95
"74","Paris",2112884.4
"75","Seine-Maritime",1243773.78333333
"76","Seine-et-Marne",1314077.93333333
"77","Yvelines",1375381.11666667
"78","Deux-Sèvres",372696.483333333
"79","Somme",573069.283333333
"80","Tarn",396517.95
"81","Tarn-et-Garonne",257298.183333333
"82","Var",1114866.96666667
"83","Vaucluse",568634.2
"84","Vendée",690246.533333333
"85","Vienne",428079.133333333
"86","Haute-Vienne",383414.783333333
"87","Vosges",365835.133333333
"88","Yonne",333396.55
"89","Territoire de Belfort",135941.2
"90","Essonne",1214653.2
"91","Hauts-de-Seine",1506678.06666667
"92","Seine-Saint-Denis",1436105.36666667
"93","Val-de-Marne",1287503.18333333
"94","Val-d'Oise",1148208.05
"95","Guadeloupe",359963.283333333
"96","Martinique",328180.033333333
"97","Guyane",167301.416666667
"98","La Réunion",819951.416666667
"99","Mayotte",85135.6
